sample v-GeO2 900K 			21-11-07  2000.000K
   560.0000       79394.00       281.7694    
   561.0000       79176.00       281.3823    
   562.0000       79109.00       281.2632    
   563.0000       80922.00       284.4679    
   564.0000       81067.00       284.7227    
   565.0000       82246.00       286.7856    
   566.0000       82436.00       287.1167    
   567.0000       82101.00       286.5327    
   568.0000       77879.00       279.0681    
   569.0000       84651.00       290.9485    
   570.0000       76431.00       276.4616    
   571.0000       77797.00       278.9211    
   572.0000       82520.00       287.2629    
   573.0000       79301.00       281.6043    
   574.0000       80714.00       284.1021    
   575.0000       79559.00       282.0620    
   576.0000       79056.00       281.1690    
   577.0000       79970.00       282.7897    
   578.0000       77378.00       278.1690    
   579.0000       66657.00       258.1802    
   580.0000       77886.00       279.0806    
   581.0000       78494.00       280.1678    
   582.0000       79165.00       281.3628    
   583.0000       80162.00       283.1289    
   584.0000       80106.00       283.0300    
   585.0000       79609.00       282.1507    
   586.0000       78061.00       279.3940    
   587.0000       80843.00       284.3290    
   588.0000       76113.00       275.8858    
   589.0000       81689.00       285.8129    
   590.0000       74506.00       272.9579    
   591.0000       73663.00       271.4093    
   592.0000       77421.00       278.2463    
   593.0000       72919.00       270.0352    
   594.0000       74135.00       272.2774    
   595.0000       76467.00       276.5267    
   596.0000       76586.00       276.7418    
   597.0000       71825.00       268.0019    
   598.0000       72755.00       269.7314    
   599.0000       70389.00       265.3093    
   600.0000       77104.00       277.6761    
   601.0000       72223.00       268.7434    
   602.0000       72459.00       269.1821    
   603.0000       75521.00       274.8109    
   604.0000       74179.00       272.3582    
   605.0000       72855.00       269.9167    
   606.0000       71315.00       267.0487    
   607.0000       73898.00       271.8419    
   608.0000       72548.00       269.3474    
   609.0000       74709.00       273.3295    
   610.0000       69124.00       262.9144    
   611.0000       71669.00       267.7107    
   612.0000       72442.00       269.1505    
   613.0000       69899.00       264.3842    
   614.0000       69555.00       263.7328    
   615.0000       69447.00       263.5280    
   616.0000       70036.00       264.6432    
   617.0000       71137.00       266.7152    
   618.0000       80934.00       284.4890    
   619.0000       84022.00       289.8655    
   620.0000       99370.00       315.2301    
   621.0000       83163.00       288.3799    
   622.0000       83609.00       289.1522    
   623.0000       85104.00       291.7259    
   624.0000       82929.00       287.9740    
   625.0000       84667.00       290.9760    
   626.0000       83051.00       288.1857    
   627.0000       84343.00       290.4187    
   628.0000       81036.00       284.6682    
   629.0000       85732.00       292.8003    
   630.0000       78146.00       279.5461    
   631.0000       79467.00       281.8989    
   632.0000       83551.00       289.0519    
   633.0000       79523.00       281.9982    
   634.0000       79871.00       282.6146    
   635.0000       79931.00       282.7207    
   636.0000       81006.00       284.6155    
   637.0000       81652.00       285.7481    
   638.0000       80138.00       283.0865    
   639.0000       79924.00       282.7083    
