sample v-GeO2 1200K x3                                       25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   611.0000       64146.00       253.2706    
   612.0000       64771.00       254.5015    
   613.0000       62763.00       250.5255    
   614.0000       63038.00       251.0737    
   615.0000       62803.00       250.6053    
   616.0000       62490.00       249.9800    
   617.0000       63616.00       252.2221    
   618.0000       72908.00       270.0148    
   619.0000       74287.00       272.5564    
   620.0000       89943.00       299.9050    
   621.0000       74255.00       272.4977    
   622.0000       75291.00       274.3921    
   623.0000       76684.00       276.9188    
   624.0000       74473.00       272.8974    
   625.0000       76444.00       276.4851    
   626.0000       74917.00       273.7097    
   627.0000       76239.00       276.1141    
   628.0000       72554.00       269.3585    
   629.0000       77342.00       278.1043    
   630.0000       69717.00       264.0398    
   631.0000       71219.00       266.8689    
   632.0000       74770.00       273.4410    
   633.0000       71217.00       266.8651    
   634.0000       71361.00       267.1348    
   635.0000       71336.00       267.0880    
   636.0000       72770.00       269.7592    
   637.0000       73501.00       271.1107    
   638.0000       71939.00       268.2145    
   639.0000       71961.00       268.2555    
