Empty fournace                                               25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   589.0000       6023.000       77.60799    
   590.0000       5462.000       73.90534    
   591.0000       5488.000       74.08104    
   592.0000       5752.000       75.84194    
   593.0000       5406.000       73.52551    
   594.0000       5461.000       73.89858    
   595.0000       5703.000       75.51821    
   596.0000       5779.000       76.01974    
   597.0000       5311.000       72.87661    
   598.0000       5416.000       73.59348    
   599.0000       5089.000       71.33723    
   600.0000       5695.000       75.46523    
   601.0000       5428.000       73.67496    
   602.0000       5422.000       73.63423    
   603.0000       5662.000       75.24626    
   604.0000       5471.000       73.96621    
   605.0000       5379.000       73.34167    
   606.0000       5311.000       72.87661    
   607.0000       5371.000       73.28711    
   608.0000       5286.000       72.70488    
   609.0000       5606.000       74.87323    
   610.0000       5111.000       71.49126    
   611.0000       5125.000       71.58910    
   612.0000       5340.000       73.07530    
   613.0000       5164.000       71.86098    
   614.0000       5203.000       72.13182    
   615.0000       5131.000       71.63100    
   616.0000       5159.000       71.82618    
   617.0000       5266.000       72.56721    
   618.0000       5791.000       76.09862    
   619.0000       5921.000       76.94804    
   620.0000       7240.000       85.08819    
   621.0000       6093.000       78.05767    
   622.0000       6062.000       77.85885    
   623.0000       6149.000       78.41556    
   624.0000       5957.000       77.18160    
   625.0000       6053.000       77.80103    
   626.0000       6031.000       77.65952    
   627.0000       6430.000       80.18728    
   628.0000       5743.000       75.78259    
   629.0000       6016.000       77.56288    
   630.0000       5316.000       72.91090    
   631.0000       5135.000       71.65891    
   632.0000       5140.000       71.69379    
   633.0000       4775.000       69.10137    
   634.0000       4777.000       69.11584    
   635.0000       4839.000       69.56292    
   636.0000       4905.000       70.03571    
   637.0000       4832.000       69.51259    
   638.0000       4759.000       68.98550    
   639.0000       4754.000       68.94926    
