New empty oven                                               26-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   517.0000       646.0000       25.41653    
   518.0000       628.0000       25.05993    
   519.0000       624.0000       24.97999    
   520.0000       666.0000       25.80698    
   521.0000       557.0000       23.60085    
   522.0000       563.0000       23.72762    
   523.0000       613.0000       24.75884    
   524.0000       587.0000       24.22808    
   525.0000       569.0000       23.85372    
   526.0000       608.0000       24.65766    
   527.0000       625.0000       25.00000    
   528.0000       559.0000       23.64318    
   529.0000       619.0000       24.87971    
   530.0000       585.0000       24.18677    
   531.0000       546.0000       23.36664    
   532.0000       582.0000       24.12468    
   533.0000       589.0000       24.26932    
   534.0000       550.0000       23.45208    
   535.0000       569.0000       23.85372    
   536.0000       655.0000       25.59297    
   537.0000       616.0000       24.81935    
   538.0000       586.0000       24.20744    
   539.0000       605.0000       24.59675    
   540.0000       592.0000       24.33105    
   541.0000       573.0000       23.93742    
   542.0000       585.0000       24.18677    
   543.0000       565.0000       23.76973    
   544.0000       582.0000       24.12468    
   545.0000       616.0000       24.81935    
   546.0000       637.0000       25.23886    
   547.0000       606.0000       24.61707    
   548.0000       619.0000       24.87971    
   549.0000       628.0000       25.05993    
   550.0000       604.0000       24.57641    
   551.0000       636.0000       25.21904    
   552.0000       638.0000       25.25866    
   553.0000       574.0000       23.95830    
   554.0000       607.0000       24.63737    
   555.0000       592.0000       24.33105    
   556.0000       617.0000       24.83949    
   557.0000       588.0000       24.24871    
   558.0000       601.0000       24.51530    
   559.0000       538.0000       23.19483    
   560.0000       569.0000       23.85372    
   561.0000       592.0000       24.33105    
   562.0000       582.0000       24.12468    
   563.0000       568.0000       23.83275    
   564.0000       588.0000       24.24871    
   565.0000       566.0000       23.79075    
   566.0000       599.0000       24.47448    
   567.0000       611.0000       24.71841    
   568.0000       555.0000       23.55844    
   569.0000       628.0000       25.05993    
   570.0000       562.0000       23.70654    
   571.0000       571.0000       23.89561    
   572.0000       597.0000       24.43358    
   573.0000       618.0000       24.85961    
   574.0000       600.0000       24.49490    
   575.0000       555.0000       23.55844    
   576.0000       568.0000       23.83275    
