Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
021132.958    23760915   310019743  0.176E-01
021144.958    23807346   310622326  0.176E-01
021156.958    23853898   311223457  0.175E-01
021208.958    23900536   311826042  0.175E-01
021220.958    23946550   312426231  0.176E-01
021232.958    23992878   313029281  0.176E-01
021244.958    24039342   313631325  0.176E-01
021256.958    24085330   314231875  0.176E-01
021308.958    24132074   314836555  0.176E-01
021320.958    24178727   315437831  0.175E-01
021332.958    24225537   316041728  0.176E-01
021344.958    24272174   316647093  0.176E-01
021356.958    24318575   317248547  0.175E-01
021408.958    24365350   317849842  0.175E-01
021420.958    24411954   318450269  0.176E-01
021432.958    24458358   319049935  0.176E-01
021444.958    24505351   319649875  0.176E-01
021456.958    24552147   320251799  0.176E-01
021508.958    24599129   320855101  0.176E-01
021520.958    24645831   321458126  0.175E-01
021532.958    24692627   322057860  0.176E-01
021544.958    24739114   322657860  0.176E-01
021556.958    24785630   323258934  0.175E-01
021608.958    24832378   323859851  0.175E-01
021620.958    24879046   324462245  0.175E-01
021632.958    24925940   325063042  0.176E-01
021644.958    24972713   325666609  0.175E-01
021656.958    25019720   326267727  0.176E-01
021708.958    25066474   326866645  0.176E-01
021720.958    25113017   327470028  0.176E-01
021732.958    25159520   328070790  0.175E-01
021744.958    25206375   328672634  0.176E-01
021756.964    25253219   329277432  0.176E-01
021808.958    25299982   329882467  0.175E-01
021820.958    25346767   330485877  0.175E-01
021832.958    25393995   331091114  0.175E-01
021844.958    25440474   331691894  0.176E-01
021856.958    25486923   332295676  0.175E-01
021908.958    25533594   332898650  0.176E-01
021920.958    25580215   333502530  0.175E-01
021932.958    25626844   334106494  0.175E-01
021944.958    25673553   334709152  0.176E-01
021956.958    25719990   335312640  0.175E-01
022008.958    25766571   335913384  0.175E-01
022020.958    25812889   336512368  0.175E-01
022032.958    25859613   337114248  0.175E-01
022044.958    25906707   337717228  0.175E-01
022056.958    25953687   338318789  0.175E-01
022108.958    26000039   338916901  0.176E-01
022120.958    26046853   339520113  0.175E-01
022132.958    26094193   340123369  0.175E-01
022144.958    26141034   340725907  0.175E-01
022156.958    26187908   341329366  0.175E-01
022208.958    26234647   341930499  0.175E-01
022220.958    26281597   342531988  0.175E-01
022232.958    26328778   343137204  0.175E-01
022244.958    26375395   343741068  0.176E-01
022256.958    26422368   344344673  0.175E-01
022308.958    26469270   344947244  0.175E-01
022320.958    26516307   345548412  0.175E-01
022332.958    26563414   346152728  0.175E-01
022344.958    26610360   346754212  0.175E-01
022356.958    26657341   347353666  0.175E-01
022408.958    26704377   347955314  0.175E-01
022420.958    26750585   348557333  0.175E-01
022432.958    26797216   349159691  0.175E-01
022444.958    26843662   349760937  0.176E-01
022456.958    26890385   350364251  0.175E-01
022508.958    26937161   350964097  0.175E-01
022520.958    26983876   351566780  0.175E-01
022532.958    27030451   352166601  0.175E-01
022544.958    27076954   352768909  0.175E-01
022556.958    27123971   353371739  0.175E-01
022608.958    27170713   353973601  0.175E-01
022620.958    27217451   354574825  0.175E-01
022632.958    27264682   355176464  0.175E-01
022644.958    27310945   355779698  0.175E-01
022656.958    27357437   356381686  0.175E-01
022708.958    27404024   356982170  0.176E-01
022720.958    27450640   357585402  0.175E-01
022732.958    27497310   358186555  0.176E-01
022744.958    27543648   358789228  0.175E-01
022756.958    27590367   359389176  0.175E-01
022808.958    27636615   359989185  0.169E-01
022820.958    27683367   360587947  0.175E-01
022832.958    27729469   361185306  0.176E-01
022844.958    27775633   361783762  0.175E-01
022856.958    27822448   362386719  0.175E-01
022908.958    27869144   362987351  0.176E-01
022920.958    27915212   363588539  0.175E-01
022932.958    27961729   364191173  0.176E-01
